text,label,cleansing,casefolding,tokenizing,stopword
@vinraffbigwin01 yuhuuu kuyy kak langsung aja meluncur ke fitur ShopeeFood km hihi biar makin laper__ met malam__^CI,netral,yuhuuu kuyy kak langsung aja meluncur ke fitur km hihi biar makin laper met malamci,yuhuuu kuyy kak langsung aja meluncur ke fitur km hihi biar makin laper met malamci,"['yuhuuu', 'kuyy', 'kak', 'langsung', 'aja', 'meluncur', 'ke', 'fitur', 'km', 'hihi', 'biar', 'makin', 'laper', 'met', 'malamci']",yuhuuu kuyy kak langsung aja meluncur fitur km hihi biar laper met malamci
"jam segini lapar, baik aku akan pesen shopeefood saja?",positif,jam segini lapar baik aku akan pesen saja,jam segini lapar baik aku akan pesen saja,"['jam', 'segini', 'lapar', 'baik', 'aku', 'akan', 'pesen', 'saja']",jam segini lapar pesen
Mie gacoan kok nutup terus ya di gojek maupun shopeefood?,negatif,mie gacoan kok nutup terus ya di gojek maupun,mie gacoan kok nutup terus ya di gojek maupun,"['mie', 'gacoan', 'kok', 'nutup', 'terus', 'ya', 'di', 'gojek', 'maupun']",mie gacoan nutup ya gojek
cara nyari di shopeefood gmn sih,netral,cara nyari di gmn sih,cara nyari di gmn sih,"['cara', 'nyari', 'di', 'gmn', 'sih']",nyari gmn sih
Ga tega banget ngeliat kamu sampe nyari akun shopee food gitu:(,negatif,ga tega banget ngeliat kamu sampe nyari akun gitu,ga tega banget ngeliat kamu sampe nyari akun gitu,"['ga', 'tega', 'banget', 'ngeliat', 'kamu', 'sampe', 'nyari', 'akun', 'gitu']",ga tega banget ngeliat sampe nyari akun gitu
@qqontoI MAU SHOPEEFOOD SEBLAK JADINYA__,netral,mau seblak jadinya,mau seblak jadinya,"['mau', 'seblak', 'jadinya']",seblak
@ShopeeCare Jajan shopeeFood dong min aku kepengen banget martabak telur dari kmaren __,positif,jajan dong min aku kepengen banget martabak telur dari kmaren,jajan dong min aku kepengen banget martabak telur dari kmaren,"['jajan', 'dong', 'min', 'aku', 'kepengen', 'banget', 'martabak', 'telur', 'dari', 'kmaren']",jajan min kepengen banget martabak telur kmaren
"ketika ku memikirkan tantang makanan, jari ini dengan lembut menggeser menu shopeefood, namun hati ini terus berkata lirih ""hemat hemat hemat""",negatif,ketika ku memikirkan tantang makanan jari ini dengan lembut menggeser menu namun hati ini terus berkata lirih hemat hemat hemat,ketika ku memikirkan tantang makanan jari ini dengan lembut menggeser menu namun hati ini terus berkata lirih hemat hemat hemat,"['ketika', 'ku', 'memikirkan', 'tantang', 'makanan', 'jari', 'ini', 'dengan', 'lembut', 'menggeser', 'menu', 'namun', 'hati', 'ini', 'terus', 'berkata', 'lirih', 'hemat', 'hemat', 'hemat']",ku memikirkan tantang makanan jari lembut menggeser menu hati lirih hemat hemat hemat
Shopee parah bangetttttttt lapar hujan mau co Shopeefood aja pke eror K06 emng paling bener pake grab sma gojek aja. Kalau gabisa ngasih peforma yang bagus dalam pelayanan jasa antar makanan mending gausah lah ngadain kek gtu @ShopeeCare,negatif,parah bangetttttttt lapar hujan mau co aja pke eror k emng paling bener pake grab sma gojek aja kalau gabisa ngasih peforma yang bagus dalam pelayanan jasa antar makanan mending gausah lah ngadain kek gtu,parah bangetttttttt lapar hujan mau co aja pke eror k emng paling bener pake grab sma gojek aja kalau gabisa ngasih peforma yang bagus dalam pelayanan jasa antar makanan mending gausah lah ngadain kek gtu,"['parah', 'bangetttttttt', 'lapar', 'hujan', 'mau', 'co', 'aja', 'pke', 'eror', 'k', 'emng', 'paling', 'bener', 'pake', 'grab', 'sma', 'gojek', 'aja', 'kalau', 'gabisa', 'ngasih', 'peforma', 'yang', 'bagus', 'dalam', 'pelayanan', 'jasa', 'antar', 'makanan', 'mending', 'gausah', 'lah', 'ngadain', 'kek', 'gtu']",parah bangetttttttt lapar hujan co aja pke eror k emng bener pake grab sma gojek aja gabisa ngasih peforma bagus pelayanan jasa makanan mending gausah ngadain kek gtu
@shiikaaas Ada fitur baru selain Shopee food,netral,ada fitur baru selain,ada fitur baru selain,"['ada', 'fitur', 'baru', 'selain']",fitur
LAGI SHOPEEFOOD BOBA SAMA TOAST BUAT NEMENIN NONTON LIVE NYA LIX EHEHE,positif,lagi boba sama toast buat nemenin nonton live nya lix ehehe,lagi boba sama toast buat nemenin nonton live nya lix ehehe,"['lagi', 'boba', 'sama', 'toast', 'buat', 'nemenin', 'nonton', 'live', 'nya', 'lix', 'ehehe']",boba toast nemenin nonton live nya lix ehehe
ada yang punya promoan shopeefood/gofood gasiiii,netral,ada yang punya promoan shopeefoodgofood gasiiii,ada yang punya promoan shopeefoodgofood gasiiii,"['ada', 'yang', 'punya', 'promoan', 'shopeefoodgofood', 'gasiiii']",promoan shopeefoodgofood gasiiii
"Sehari pendapatan jadi Driver @shopeefood_id @ShopeeID 2 orderan dikali Rp. 9.600. Cuma dapat Rp. 19.200.
Sedangkan pengeluaran dalam sehari, Bensin 20 rb, makan 2 x 15 rb rokok 10 rb.
Kebutuhan dapur 50 rb.

Saran dan solusinya bagaimana nih, @shopeefood_id @ShopeeID ?",negatif,sehari pendapatan jadi driver orderan dikali rp cuma dapat rp sedangkan pengeluaran dalam sehari bensin rb makan x rb rokok rb kebutuhan dapur rb saran dan solusinya bagaimana nih,sehari pendapatan jadi driver orderan dikali rp cuma dapat rp sedangkan pengeluaran dalam sehari bensin rb makan x rb rokok rb kebutuhan dapur rb saran dan solusinya bagaimana nih,"['sehari', 'pendapatan', 'jadi', 'driver', 'orderan', 'dikali', 'rp', 'cuma', 'dapat', 'rp', 'sedangkan', 'pengeluaran', 'dalam', 'sehari', 'bensin', 'rb', 'makan', 'x', 'rb', 'rokok', 'rb', 'kebutuhan', 'dapur', 'rb', 'saran', 'dan', 'solusinya', 'bagaimana', 'nih']",sehari pendapatan driver orderan dikali rp rp pengeluaran sehari bensin rb makan x rb rokok rb kebutuhan dapur rb saran solusinya nih
"Kalo gofood/shopeefood/grabfood suka pesen juga penyetan sego wader, daerah gubeng kertajaya kalo ga salah. Yg pesennya kudu 1 jam sebelum jam2 lapar, biar ga mati kelaparan __ Tp sambelnya enak seger, cuman nasinya emanh dikit untuk ukuran penyetan __",negatif,kalo gofoodshopeefoodgrabfood suka pesen juga penyetan sego wader daerah gubeng kertajaya kalo ga salah yg pesennya kudu jam sebelum jam lapar biar ga mati kelaparan tp sambelnya enak seger cuman nasinya emanh dikit untuk ukuran penyetan,kalo gofoodshopeefoodgrabfood suka pesen juga penyetan sego wader daerah gubeng kertajaya kalo ga salah yg pesennya kudu jam sebelum jam lapar biar ga mati kelaparan tp sambelnya enak seger cuman nasinya emanh dikit untuk ukuran penyetan,"['kalo', 'gofoodshopeefoodgrabfood', 'suka', 'pesen', 'juga', 'penyetan', 'sego', 'wader', 'daerah', 'gubeng', 'kertajaya', 'kalo', 'ga', 'salah', 'yg', 'pesennya', 'kudu', 'jam', 'sebelum', 'jam', 'lapar', 'biar', 'ga', 'mati', 'kelaparan', 'tp', 'sambelnya', 'enak', 'seger', 'cuman', 'nasinya', 'emanh', 'dikit', 'untuk', 'ukuran', 'penyetan']",kalo gofoodshopeefoodgrabfood suka pesen penyetan sego wader daerah gubeng kertajaya kalo ga salah yg pesennya kudu jam jam lapar biar ga mati kelaparan tp sambelnya enak seger cuman nasinya emanh dikit ukuran penyetan
"@dwstwt Lumayan banyak jg nampaknya kak di bandung klo diliat di shopeefood, mungkin di jatinangornya kali yah yg cuma satu outlet? __",negatif,lumayan banyak jg nampaknya kak di bandung klo diliat di mungkin di jatinangornya kali yah yg cuma satu outlet,lumayan banyak jg nampaknya kak di bandung klo diliat di mungkin di jatinangornya kali yah yg cuma satu outlet,"['lumayan', 'banyak', 'jg', 'nampaknya', 'kak', 'di', 'bandung', 'klo', 'diliat', 'di', 'mungkin', 'di', 'jatinangornya', 'kali', 'yah', 'yg', 'cuma', 'satu', 'outlet']",lumayan jg nampaknya kak bandung klo diliat jatinangornya kali yah yg outlet
Bilamana hang lupa tukaq alamat shopee hang .. disebabkan shopee food .. __________ .. jangan cari aku kat tempat reja aku eh ..,negatif,bilamana hang lupa tukaq alamat hang disebabkan jangan cari aku kat tempat reja aku eh,bilamana hang lupa tukaq alamat hang disebabkan jangan cari aku kat tempat reja aku eh,"['bilamana', 'hang', 'lupa', 'tukaq', 'alamat', 'hang', 'disebabkan', 'jangan', 'cari', 'aku', 'kat', 'tempat', 'reja', 'aku', 'eh']",bilamana hang lupa tukaq alamat hang disebabkan cari kat reja eh
@txtestetik Maunya shopee food,netral,maunya,maunya,['maunya'],maunya
"Hallo @ShopeeID @shopeefood_id daftar jadi akun Driver VVIP dong, perbulannya berapa? biar mudah dapet orderan. Udah gak sanggup nih sehari cuma dapet 2 orderan doang.",negatif,hallo daftar jadi akun driver vvip dong perbulannya berapa biar mudah dapet orderan udah gak sanggup nih sehari cuma dapet orderan doang,hallo daftar jadi akun driver vvip dong perbulannya berapa biar mudah dapet orderan udah gak sanggup nih sehari cuma dapet orderan doang,"['hallo', 'daftar', 'jadi', 'akun', 'driver', 'vvip', 'dong', 'perbulannya', 'berapa', 'biar', 'mudah', 'dapet', 'orderan', 'udah', 'gak', 'sanggup', 'nih', 'sehari', 'cuma', 'dapet', 'orderan', 'doang']",hallo daftar akun driver vvip perbulannya biar mudah dapet orderan udah gak sanggup nih sehari dapet orderan doang
Rekomen makanan murmer di shopee food sekitar gerlong dong__,positif,rekomen makanan murmer di sekitar gerlong dong,rekomen makanan murmer di sekitar gerlong dong,"['rekomen', 'makanan', 'murmer', 'di', 'sekitar', 'gerlong', 'dong']",rekomen makanan murmer gerlong
shopeefood drivernya emang pada muda-muda yaw wkwk,positif,drivernya emang pada mudamuda yaw wkwk,drivernya emang pada mudamuda yaw wkwk,"['drivernya', 'emang', 'pada', 'mudamuda', 'yaw', 'wkwk']",drivernya emang mudamuda yaw wkwk
Ini shopeefood entah mapnya/drivernya yang aneh banget jelas2 udah sesuai titik malah drivernya pergi ke belakang__,negatif,ini entah mapnyadrivernya yang aneh banget jelas udah sesuai titik malah drivernya pergi ke belakang,ini entah mapnyadrivernya yang aneh banget jelas udah sesuai titik malah drivernya pergi ke belakang,"['ini', 'entah', 'mapnyadrivernya', 'yang', 'aneh', 'banget', 'jelas', 'udah', 'sesuai', 'titik', 'malah', 'drivernya', 'pergi', 'ke', 'belakang']",mapnyadrivernya aneh banget udah sesuai titik drivernya pergi
Keluarga bulek di semarang. Bulek guru sdia sering jajan onlen kek aku. Kalo kesana mesti ditawari meh order shopeefood apa. Ya gini nih punya bulek yg gawl. Beda umur 10th nan,positif,keluarga bulek di semarang bulek guru sdia sering jajan onlen kek aku kalo kesana mesti ditawari meh order apa ya gini nih punya bulek yg gawl beda umur th nan,keluarga bulek di semarang bulek guru sdia sering jajan onlen kek aku kalo kesana mesti ditawari meh order apa ya gini nih punya bulek yg gawl beda umur th nan,"['keluarga', 'bulek', 'di', 'semarang', 'bulek', 'guru', 'sdia', 'sering', 'jajan', 'onlen', 'kek', 'aku', 'kalo', 'kesana', 'mesti', 'ditawari', 'meh', 'order', 'apa', 'ya', 'gini', 'nih', 'punya', 'bulek', 'yg', 'gawl', 'beda', 'umur', 'th', 'nan']",keluarga bulek semarang bulek guru sdia jajan onlen kek kalo kesana mesti ditawari meh order ya gini nih bulek yg gawl beda umur th nan
"Jadi kan gini, si guwe tuh pesen shopeefood kan ya nah terus saat bersamaan tuh ada grab juga dateng.
Terus kan aku fokusnya sama si bapak jaket shopeefood ya ngambil dah tuh aku pas sadar loh kok gini bungkusnya biasanya juga gak gini gitu kan ya kreseknya. .",negatif,jadi kan gini si guwe tuh pesen kan ya nah terus saat bersamaan tuh ada grab juga dateng terus kan aku fokusnya sama si bapak jaket ya ngambil dah tuh aku pas sadar loh kok gini bungkusnya biasanya juga gak gini gitu kan ya kreseknya,jadi kan gini si guwe tuh pesen kan ya nah terus saat bersamaan tuh ada grab juga dateng terus kan aku fokusnya sama si bapak jaket ya ngambil dah tuh aku pas sadar loh kok gini bungkusnya biasanya juga gak gini gitu kan ya kreseknya,"['jadi', 'kan', 'gini', 'si', 'guwe', 'tuh', 'pesen', 'kan', 'ya', 'nah', 'terus', 'saat', 'bersamaan', 'tuh', 'ada', 'grab', 'juga', 'dateng', 'terus', 'kan', 'aku', 'fokusnya', 'sama', 'si', 'bapak', 'jaket', 'ya', 'ngambil', 'dah', 'tuh', 'aku', 'pas', 'sadar', 'loh', 'kok', 'gini', 'bungkusnya', 'biasanya', 'juga', 'gak', 'gini', 'gitu', 'kan', 'ya', 'kreseknya']",gini si guwe tuh pesen ya bersamaan tuh grab dateng fokusnya si jaket ya ngambil dah tuh pas sadar loh gini bungkusnya gak gini gitu ya kreseknya
@cintai__ Asiappp. fix penggemar berat jajan ShopeeFood niih. aku pasti catet nih jawaban kamuu __ ^TG,positif,asiappp fix penggemar berat jajan niih aku pasti catet nih jawaban kamuu tg,asiappp fix penggemar berat jajan niih aku pasti catet nih jawaban kamuu tg,"['asiappp', 'fix', 'penggemar', 'berat', 'jajan', 'niih', 'aku', 'pasti', 'catet', 'nih', 'jawaban', 'kamuu', 'tg']",asiappp fix penggemar berat jajan niih catet nih kamuu tg
"@shopeefood_id Bener min.. yg salah, makan mie sukses pas lagi susah",netral,bener min yg salah makan mie sukses pas lagi susah,bener min yg salah makan mie sukses pas lagi susah,"['bener', 'min', 'yg', 'salah', 'makan', 'mie', 'sukses', 'pas', 'lagi', 'susah']",bener min yg salah makan mie sukses pas susah
Sekarang lebih suka shopeefood daripada gofood __ banyak diskonannya,positif,sekarang lebih suka daripada gofood banyak diskonannya,sekarang lebih suka daripada gofood banyak diskonannya,"['sekarang', 'lebih', 'suka', 'daripada', 'gofood', 'banyak', 'diskonannya']",suka gofood diskonannya
aelahhhhhh shopeefood mahal amat dah sekarang :),negatif,aelahhhhhh mahal amat dah sekarang,aelahhhhhh mahal amat dah sekarang,"['aelahhhhhh', 'mahal', 'amat', 'dah', 'sekarang']",aelahhhhhh mahal dah
"@yourlovelyb0y Menurutku gitu, barusan order via shopeefood porsinya lumayan banyak dari biasanya",positif,menurutku gitu barusan order via porsinya lumayan banyak dari biasanya,menurutku gitu barusan order via porsinya lumayan banyak dari biasanya,"['menurutku', 'gitu', 'barusan', 'order', 'via', 'porsinya', 'lumayan', 'banyak', 'dari', 'biasanya']",menurutku gitu barusan order via porsinya lumayan
"Ada yang bisa co-in di shopeefood ngga? Shopeefood ku lagi error soalnya, drop fee langsung #zonauang #zonaba #zonaBU",negatif,ada yang bisa coin di ngga ku lagi error soalnya drop fee langsung,ada yang bisa coin di ngga ku lagi error soalnya drop fee langsung,"['ada', 'yang', 'bisa', 'coin', 'di', 'ngga', 'ku', 'lagi', 'error', 'soalnya', 'drop', 'fee', 'langsung']",coin ngga ku error drop fee langsung
-ness saran menu katsukai dong mau shopeefood nih,netral,ness saran menu katsukai dong mau nih,ness saran menu katsukai dong mau nih,"['ness', 'saran', 'menu', 'katsukai', 'dong', 'mau', 'nih']",ness saran menu katsukai nih
@cordvroyy itu nanti kamu pesenin barang kaa/makanan kalo shopeefood ada fee nyaa,netral,itu nanti kamu pesenin barang kaamakanan kalo ada fee nyaa,itu nanti kamu pesenin barang kaamakanan kalo ada fee nyaa,"['itu', 'nanti', 'kamu', 'pesenin', 'barang', 'kaamakanan', 'kalo', 'ada', 'fee', 'nyaa']",pesenin barang kaamakanan kalo fee nyaa
"Shopeefood gofood: mahal
Makan keluar: udah skin care-an
Bingung brow __",negatif,gofood mahal makan keluar udah skin carean bingung brow,gofood mahal makan keluar udah skin carean bingung brow,"['gofood', 'mahal', 'makan', 'keluar', 'udah', 'skin', 'carean', 'bingung', 'brow']",gofood mahal makan udah skin carean bingung brow
@itaeguns2 @i_m_mortal_ mending nyari aman aja kak 1 akun 1 hp jangan diutak atik. voc shopeefood kan lumayan bgt:(,positif,mending nyari aman aja kak akun hp jangan diutak atik voc kan lumayan bgt,mending nyari aman aja kak akun hp jangan diutak atik voc kan lumayan bgt,"['mending', 'nyari', 'aman', 'aja', 'kak', 'akun', 'hp', 'jangan', 'diutak', 'atik', 'voc', 'kan', 'lumayan', 'bgt']",mending nyari aman aja kak akun hp diutak atik voc lumayan bgt
@itaeguns2 @i_m_mortal_ jangan kak. aku pernah gitu dan sekarang akun yg aku pindahin ke hp lain malah gabisa share link shopeefood dll__,negatif,jangan kak aku pernah gitu dan sekarang akun yg aku pindahin ke hp lain malah gabisa share link dll,jangan kak aku pernah gitu dan sekarang akun yg aku pindahin ke hp lain malah gabisa share link dll,"['jangan', 'kak', 'aku', 'pernah', 'gitu', 'dan', 'sekarang', 'akun', 'yg', 'aku', 'pindahin', 'ke', 'hp', 'lain', 'malah', 'gabisa', 'share', 'link', 'dll']",kak gitu akun yg pindahin hp gabisa share link dll
banyak ingin tp tida bisa shopee food huah,negatif,banyak ingin tp tida bisa huah,banyak ingin tp tida bisa huah,"['banyak', 'ingin', 'tp', 'tida', 'bisa', 'huah']",tp tida huah
"@ShopeeCare __ Jajan ShopeeFood
Langsung telaktir keluarga __
#Shopeecare",positif,jajan langsung telaktir keluarga,jajan langsung telaktir keluarga,"['jajan', 'langsung', 'telaktir', 'keluarga']",jajan langsung telaktir keluarga
@ShopeeCare Jajan shopeefood udah pasti dong,positif,jajan udah pasti dong,jajan udah pasti dong,"['jajan', 'udah', 'pasti', 'dong']",jajan udah
"Sobat Shopee! Mimin kepo nih, kalau misalnya kalian dapet ShopeePay 100RB dari Mimin, mau kalian pake untuk apa? Yuk pilih jawaban kamu!
 
__ Jajan ShopeeFood
__ Checkout Wishlist 
 
#Shopeecare",netral,sobat mimin kepo nih kalau misalnya kalian dapet shopeepay rb dari mimin mau kalian pake untuk apa yuk pilih jawaban kamu jajan checkout wishlist,sobat mimin kepo nih kalau misalnya kalian dapet shopeepay rb dari mimin mau kalian pake untuk apa yuk pilih jawaban kamu jajan checkout wishlist,"['sobat', 'mimin', 'kepo', 'nih', 'kalau', 'misalnya', 'kalian', 'dapet', 'shopeepay', 'rb', 'dari', 'mimin', 'mau', 'kalian', 'pake', 'untuk', 'apa', 'yuk', 'pilih', 'jawaban', 'kamu', 'jajan', 'checkout', 'wishlist']",sobat mimin kepo nih dapet shopeepay rb mimin pake yuk pilih jajan checkout wishlist
untung aku akhir_ ini ordernya kalo gak di grabfood ya di shopeefood,netral,untung aku akhir ini ordernya kalo gak di grabfood ya di,untung aku akhir ini ordernya kalo gak di grabfood ya di,"['untung', 'aku', 'akhir', 'ini', 'ordernya', 'kalo', 'gak', 'di', 'grabfood', 'ya', 'di']",untung ordernya kalo gak grabfood ya
punten bakso yg enak di sekitar dramga dimana yaa? yg ada di shopeefood atau gofood kalo bisa makasii,netral,punten bakso yg enak di sekitar dramga dimana yaa yg ada di atau gofood kalo bisa makasii,punten bakso yg enak di sekitar dramga dimana yaa yg ada di atau gofood kalo bisa makasii,"['punten', 'bakso', 'yg', 'enak', 'di', 'sekitar', 'dramga', 'dimana', 'yaa', 'yg', 'ada', 'di', 'atau', 'gofood', 'kalo', 'bisa', 'makasii']",punten bakso yg enak dramga dimana yaa yg gofood kalo makasii
Lapar. Berujung cuma scrol menu di shopeefood,negatif,lapar berujung cuma scrol menu di,lapar berujung cuma scrol menu di,"['lapar', 'berujung', 'cuma', 'scrol', 'menu', 'di']",lapar berujung scrol menu
"Lagi diluar kota lapar, bisa-bisanya pesen shopee food malah salah alamat wkwkwk",negatif,lagi diluar kota lapar bisabisanya pesen malah salah alamat wkwkwk,lagi diluar kota lapar bisabisanya pesen malah salah alamat wkwkwk,"['lagi', 'diluar', 'kota', 'lapar', 'bisabisanya', 'pesen', 'malah', 'salah', 'alamat', 'wkwkwk']",diluar kota lapar bisabisanya pesen salah alamat wkwkwk
@aahmegitsune @shopeefood_id Tau g jls bgt sopi,negatif,tau g jls bgt sopi,tau g jls bgt sopi,"['tau', 'g', 'jls', 'bgt', 'sopi']",tau g jls bgt sopi
@GAHunterFess dana nder __ kalo spay pasti abis mulu buat shopeefood,negatif,dana nder kalo spay pasti abis mulu buat,dana nder kalo spay pasti abis mulu buat,"['dana', 'nder', 'kalo', 'spay', 'pasti', 'abis', 'mulu', 'buat']",dana nder kalo spay abis mulu
"Ketemu Kang shopee food neduh di bawah pohon pas lampu merah sunset road, katanya 

šsepi banget bli, hari ini baru 2 orderan masukš",negatif,ketemu kang neduh di bawah pohon pas lampu merah sunset road katanya sepi banget bli hari ini baru orderan masuk,ketemu kang neduh di bawah pohon pas lampu merah sunset road katanya sepi banget bli hari ini baru orderan masuk,"['ketemu', 'kang', 'neduh', 'di', 'bawah', 'pohon', 'pas', 'lampu', 'merah', 'sunset', 'road', 'katanya', 'sepi', 'banget', 'bli', 'hari', 'ini', 'baru', 'orderan', 'masuk']",ketemu kang neduh pohon pas lampu merah sunset road sepi banget bli orderan masuk
baru kali ini jengkel banget sama shopeefood astagaaa,negatif,baru kali ini jengkel banget sama astagaaa,baru kali ini jengkel banget sama astagaaa,"['baru', 'kali', 'ini', 'jengkel', 'banget', 'sama', 'astagaaa']",kali jengkel banget astagaaa
@collegemenfess gatau ya nder aku sebungkus buat makan 3 harian. selang seling sama telor dan shopeefood jg sih__,netral,gatau ya nder aku sebungkus buat makan harian selang seling sama telor dan jg sih,gatau ya nder aku sebungkus buat makan harian selang seling sama telor dan jg sih,"['gatau', 'ya', 'nder', 'aku', 'sebungkus', 'buat', 'makan', 'harian', 'selang', 'seling', 'sama', 'telor', 'dan', 'jg', 'sih']",gatau ya nder sebungkus makan harian selang seling telor jg sih
"Aku la.. sejak pandai pakai shopee food, memanjang je guna tu.. tak pandang dah grabfood dgn foodpanda__

Tak boleh jadi nie.. esok kena masak__ habis duit ku kalau begini terus__",netral,aku la sejak pandai pakai memanjang je guna tu tak pandang dah grabfood dgn foodpanda tak boleh jadi nie esok kena masak habis duit ku kalau begini terus,aku la sejak pandai pakai memanjang je guna tu tak pandang dah grabfood dgn foodpanda tak boleh jadi nie esok kena masak habis duit ku kalau begini terus,"['aku', 'la', 'sejak', 'pandai', 'pakai', 'memanjang', 'je', 'guna', 'tu', 'tak', 'pandang', 'dah', 'grabfood', 'dgn', 'foodpanda', 'tak', 'boleh', 'jadi', 'nie', 'esok', 'kena', 'masak', 'habis', 'duit', 'ku', 'kalau', 'begini', 'terus']",la pandai pakai memanjang je tu pandang dah grabfood dgn foodpanda nie esok kena masak habis duit ku
Mau Shopee food maju mundur dah duit tinggal 160rb harus nunggu 14 hari lagi mau makan enak. efek Konser konser bertebaran,negatif,mau maju mundur dah duit tinggal rb harus nunggu hari lagi mau makan enak efek konser konser bertebaran,mau maju mundur dah duit tinggal rb harus nunggu hari lagi mau makan enak efek konser konser bertebaran,"['mau', 'maju', 'mundur', 'dah', 'duit', 'tinggal', 'rb', 'harus', 'nunggu', 'hari', 'lagi', 'mau', 'makan', 'enak', 'efek', 'konser', 'konser', 'bertebaran']",maju mundur dah duit tinggal rb nunggu makan enak efek konser konser bertebaran
